scheme_id,persona_id,baseline_score,cf_awareness_score,cf_documentation_score,cf_assisted_removal_score,cf_digital_enablement_score,delta_cf_awareness,delta_cf_documentation,delta_cf_assisted_removal,delta_cf_digital_enablement
pmmvy,p01,0.30428571428571427,0.30428571428571427,0.24857142857142853,0.3785714285714285,0.30428571428571427,0.0,-0.055714285714285744,0.07428571428571423,0.0
pmmvy,p02,0.3224285714285714,0.3224285714285714,0.26671428571428574,0.4041428571428572,0.3098571428571429,0.0,-0.05571428571428566,0.0817142857142858,-0.012571428571428511
pmmvy,p03,0.35957142857142854,0.35957142857142854,0.2927142857142857,0.4412857142857143,0.347,0.0,-0.06685714285714284,0.08171428571428574,-0.012571428571428567
pmmvy,p04,0.3832857142857143,0.3832857142857143,0.3164285714285714,0.47985714285714287,0.3707142857142857,0.0,-0.06685714285714289,0.09657142857142859,-0.012571428571428567
pmmvy,p05,0.4204285714285714,0.4204285714285714,0.3424285714285714,0.517,0.40785714285714286,0.0,-0.07799999999999996,0.09657142857142864,-0.012571428571428511
pmmvy,p06,0.34142857142857147,0.34142857142857147,0.2745714285714285,0.41571428571428565,0.34142857142857147,0.0,-0.06685714285714295,0.07428571428571418,0.0
pmmvy,p07,0.33499999999999996,0.33499999999999996,0.2792857142857143,0.4167142857142857,0.3224285714285714,0.0,-0.05571428571428566,0.08171428571428574,-0.012571428571428567
pmmvy,p08,0.38414285714285706,0.38414285714285706,0.3061428571428571,0.4658571428571428,0.38414285714285706,0.0,-0.07799999999999996,0.08171428571428574,0.0
pmmvy,p09,0.40785714285714286,0.40785714285714286,0.3298571428571428,0.5044285714285713,0.3952857142857143,0.0,-0.07800000000000007,0.09657142857142847,-0.012571428571428567
pmmvy,p10,0.3832857142857143,0.3832857142857143,0.3164285714285714,0.47985714285714287,0.3707142857142857,0.0,-0.06685714285714289,0.09657142857142859,-0.012571428571428567
pmmvy,p11,0.31685714285714284,0.31685714285714284,0.2611428571428571,0.39114285714285707,0.30428571428571427,0.0,-0.055714285714285716,0.07428571428571423,-0.012571428571428567
pmmvy,p12,0.3967142857142857,0.3967142857142857,0.31871428571428567,0.47842857142857137,0.38414285714285706,0.0,-0.07800000000000001,0.08171428571428568,-0.012571428571428622
